# Folding 1, all lengths/volumes are comoving. k-bin centres are not corrected for the weights of the modes.
# Shotnoise [Mpc^3]
9593.45
# Redshift [dimensionless]
127
# k [Mpc^(-1)]   p [Mpc^3]
1.70325 8144.07
3.40649 7452.27
5.10974 8803.28
6.81298 10486.7
8.51623 8453.7
10.2195 10100.9
11.9227 8982.74
13.626 9338.47
15.3292 9661.61
17.0325 10211.1
18.7357 9273.76
20.439 9478.42
22.1422 9557.94
23.8454 9386.65
25.5487 9703.48
27.2519 9620.46
28.9552 9720.15
30.6584 9936.61
32.3617 9475.15
34.0649 9499.49
35.7682 9724.7
37.4714 9946.67
39.1747 9637.65
40.8779 9482.24
42.5811 9718.13
44.2844 9634
45.9876 9469.36
47.6909 9770.83
49.3941 9699.55
51.0974 9450.78
52.8006 9452.94
54.5039 9612.21
56.2071 9667.79
57.9104 9661.16
59.6136 9519.59
61.3169 9602.48
63.0201 9510.71
64.7233 9470.85
66.4266 9382.86
68.1298 9632.57
69.8331 9486.44
71.5363 9647.67
73.2396 9566.39
74.9428 9627.89
76.6461 9720.22
78.3493 9685.78
80.0526 9675.67
81.7558 9700.96
83.459 9783
85.1623 9829.36
86.8655 9965.53
88.5688 9959.73
90.272 9932.19
91.9753 9973.57
93.6785 10155.4
95.3818 10151.8
97.085 10238.2
98.7883 10476.5
100.492 10404.1
102.195 10696.5
103.898 11227.7
105.601 11449.5
107.304 11558.7
109.008 11999.1
