# Folding 3, all lengths/volumes are comoving. k-bin centres are not corrected for the weights of the modes.
# Shotnoise [Mpc^3]
9593.45
# Redshift [dimensionless]
127
# k [Mpc^(-1)]   p [Mpc^3]
27.2519 7450.42
54.5039 8508.46
81.7558 7243.95
109.008 8092.28
136.26 9235.77
163.512 9303.19
190.764 9239.22
218.015 9403.05
245.267 9959.59
272.519 9294.9
299.771 9377.36
327.023 9197.64
354.275 9786.12
381.527 9220.9
408.779 9368.32
436.031 9931.58
463.283 9784.22
490.535 9503.38
517.787 9874.26
545.039 9698.64
572.291 9564.68
599.543 9441.55
626.794 9732.16
654.046 9737.47
681.298 9609
708.55 9572.63
735.802 9689.4
763.054 9587.71
790.306 9665.53
817.558 9463.07
844.81 9550.21
872.062 9505.83
899.314 9534
926.566 9686.45
953.818 9581.77
981.07 9546.56
1008.32 9718.84
1035.57 9503.51
1062.83 9489.67
1090.08 9536.36
1117.33 9682.26
1144.58 9462.71
1171.83 9693.38
1199.09 9662.09
1226.34 9700.57
1253.59 9845.87
1280.84 9536.51
1308.09 9714.96
1335.34 9813.63
1362.6 9794.84
1389.85 9856.5
1417.1 9875.99
1444.35 9915.46
1471.6 10055.7
1498.86 10139.3
1526.11 10097.6
1553.36 10190.1
1580.61 10421
1607.86 10621.9
1635.12 10875.4
1662.37 11116.4
1689.62 11193.3
1716.87 11540.4
1744.12 11862.4
