# Folding 0, all lengths/volumes are comoving. k-bin centres are not corrected for the weights of the modes.
# Shotnoise [Mpc^3]
9593.45
# Redshift [dimensionless]
127
# k [Mpc^(-1)]   p [Mpc^3]
0.425811 12628.6
0.851623 9963.97
1.27743 9983.45
1.70325 10103.2
2.12906 8601.21
2.55487 8580.78
2.98068 9731.15
3.40649 9788.92
3.8323 8704.75
4.25811 9245.82
4.68393 9496.83
5.10974 8848.67
5.53555 10095.1
5.96136 9711.28
6.38717 9994.31
6.81298 9246.56
7.23879 9629.1
7.66461 9346.32
8.09042 9408.81
8.51623 9806.43
8.94204 9730.36
9.36785 10119.7
9.79366 9779.27
10.2195 9568.9
10.6453 9275.19
11.0711 9462.55
11.4969 9725.24
11.9227 9593.46
12.3485 9483.28
12.7743 9677.83
13.2002 9371.38
13.626 9639.92
14.0518 9687.23
14.4776 9538.87
14.9034 9619.48
15.3292 9608.78
15.755 9565.18
16.1808 9652.87
16.6066 9611.43
17.0325 9686.29
17.4583 9525.41
17.8841 9707.16
18.3099 9762.93
18.7357 9660.73
19.1615 9576.07
19.5873 9657.22
20.0131 9716.14
20.439 9730.66
20.8648 9813.78
21.2906 9911.85
21.7164 9825.17
22.1422 10023.1
22.568 9939.19
22.9938 9935.59
23.4196 10166
23.8454 10194.7
24.2713 10337.6
24.6971 10477
25.1229 10540
25.5487 10795.1
25.9745 10962.7
26.4003 11316.4
26.8261 11601.7
27.2519 11963.2
