# Gravity accuracy test - SWIFT FORCES
# G=   4.30091755e+01
# N= 10
# periodic= 1
# theta=   1.00000000e-02
# Git Branch: master
# Git Revision: v1.0.0-359-gdf3f05c9-dirty
#               id           pos[0]           pos[1]           pos[2]       a_swift[0]       a_swift[1]       a_swift[2]        potential          a_PM[0]          a_PM[1]          a_PM[2]      potentialPM         a_p2p[0]         a_p2p[1]         a_p2p[2]         a_m2p[0]         a_m2p[1]         a_m2p[2]         a_m2l[0]         a_m2l[1]         a_m2l[2]            n_p2p            n_m2p            n_m2l             n_PM
              2980   2.35021812e-01   2.57979086e+00   4.80735676e+00   2.86402088e-02   2.27495581e-02  -5.63270859e-02  -4.49075587e-02   3.85341793e-03   1.47895683e-02  -1.02256648e-02  -4.52296548e-02   3.08637880e-02   1.14794672e-02  -4.14495580e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3710   1.89010206e+00   2.96220167e+00   7.39524714e-01  -3.16423476e-02  -1.33136753e-02   1.09364120e-02   4.67754006e-02  -3.20607387e-02  -1.33329453e-02   1.07827028e-02   4.16538306e-02   4.17676172e-04   1.93258475e-05   1.54979265e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              6190   2.03253322e+00   4.15254543e+00   2.54482217e+00   5.07808253e-02  -5.51232547e-02  -5.36056608e-02  -1.32674322e-01  -1.25082973e-02   8.09671581e-02   5.59189320e-02  -1.09408274e-01   6.32891282e-02  -1.36090443e-01  -1.09524600e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              9630   4.62588096e+00   4.43972618e+00   1.17519400e+00  -1.15939714e-02  -1.52635714e-02   3.08019686e-02   2.10823510e-02  -1.33650033e-02  -1.61977857e-02   3.49875763e-02   1.65195446e-02   1.29845738e-03   1.18287571e-03  -3.99681041e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              8110   3.94646937e+00   2.81964544e+00   2.81763843e-01   3.59560288e-02   8.59899726e-03  -2.96165771e-03   9.26446915e-02   3.46930698e-02   8.54353141e-03  -3.40721221e-03   8.75740424e-02   1.16924522e-03   3.40633937e-06   5.12307219e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3000   4.78953223e+00   8.74089894e-01   1.07715218e+00   9.92264077e-02  -1.11779466e-01  -1.03393450e-01  -4.53906246e-02   5.86442184e-04  -4.24385928e-02  -4.78096567e-02  -3.42360809e-02  -3.02615147e-02  -1.69664677e-02  -1.76115092e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7740   3.07768150e+00   4.33391388e+00   2.88222872e+00  -5.82381971e-02   3.06099001e-02   1.49063431e-02  -9.59497839e-02  -5.42099439e-02   3.30448374e-02   1.99130923e-02  -9.95794013e-02  -4.03261837e-03  -2.47385330e-03  -4.98025632e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              4770   4.25558128e+00   3.98527252e+00   3.99304355e+00  -5.34400456e-02   4.23513763e-02  -3.77234514e-03   3.78014124e-03  -5.34402840e-02   4.23548147e-02  -3.76744312e-03  -1.37378927e-03   2.04561815e-07  -3.45193257e-06  -4.95859513e-06   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7770   4.53693997e+00   1.02889837e+00   2.64545634e+00  -2.18498502e-02  -3.53154428e-02  -3.69822495e-02   2.60924995e-02  -2.14263555e-02  -3.50446738e-02  -3.63892764e-02   2.10931022e-02  -4.23581601e-04  -2.70813791e-04  -5.92964061e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7030   2.43946052e+00   5.17183583e-01   3.93342447e+00  -9.14584380e-03   1.17934998e-02   1.85050326e-03   1.44623956e-02  -1.09506701e-03   1.42780384e-02   4.62734082e-04   1.00038797e-02  -8.05274677e-03  -2.48135393e-03   1.38524501e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
