# Gravity accuracy test - SWIFT FORCES
# G=   4.30091755e+01
# N= 10
# periodic= 1
# theta=   1.00000000e-02
# Git Branch: master
# Git Revision: v1.0.0-359-gdf3f05c9-dirty
#               id           pos[0]           pos[1]           pos[2]       a_swift[0]       a_swift[1]       a_swift[2]        potential          a_PM[0]          a_PM[1]          a_PM[2]      potentialPM         a_p2p[0]         a_p2p[1]         a_p2p[2]         a_m2p[0]         a_m2p[1]         a_m2p[2]         a_m2l[0]         a_m2l[1]         a_m2l[2]            n_p2p            n_m2p            n_m2l             n_PM
              2980   2.35021720e-01   2.57979038e+00   4.80735621e+00   2.86401566e-02   2.27495860e-02  -5.63273206e-02  -4.49075736e-02   3.85336555e-03   1.47895785e-02  -1.02256965e-02  -4.52296585e-02   3.08638290e-02   1.14794960e-02  -4.14497368e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3710   1.89010163e+00   2.96220132e+00   7.39524195e-01  -3.16423513e-02  -1.33136548e-02   1.09364092e-02   4.67753932e-02  -3.20607424e-02  -1.33329257e-02   1.07827000e-02   4.16538231e-02   4.17676900e-04   1.93261039e-05   1.54979323e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              6190   2.03253271e+00   4.15254527e+00   2.54482197e+00   5.07811308e-02  -5.51230162e-02  -5.36055379e-02  -1.32674411e-01  -1.25082862e-02   8.09672177e-02   5.59189580e-02  -1.09408319e-01   6.32894263e-02  -1.36090264e-01  -1.09524503e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              9630   4.62588054e+00   4.43972584e+00   1.17519332e+00  -1.15939165e-02  -1.52635472e-02   3.08018532e-02   2.10823752e-02  -1.33649558e-02  -1.61977801e-02   3.49875055e-02   1.65195707e-02   1.29846332e-03   1.18289574e-03  -3.99685511e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              8110   3.94646879e+00   2.81964511e+00   2.81763075e-01   3.59559692e-02   8.59901682e-03  -2.96171266e-03   9.26446989e-02   3.46930213e-02   8.54355097e-03  -3.40726250e-03   8.75740424e-02   1.16923288e-03   3.40650627e-06   5.12302737e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3000   4.78953185e+00   8.74089814e-01   1.07715203e+00   9.92266089e-02  -1.11780092e-01  -1.03393316e-01  -4.53906059e-02   5.86394977e-04  -4.24386375e-02  -4.78095710e-02  -3.42360400e-02  -3.02614085e-02  -1.69663671e-02  -1.76114142e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7740   3.07768077e+00   4.33391360e+00   2.88222826e+00  -5.82383238e-02   3.06098312e-02   1.49063785e-02  -9.59497765e-02  -5.42100035e-02   3.30447778e-02   1.99131016e-02  -9.95793939e-02  -4.03268402e-03  -2.47386238e-03  -4.98023070e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              4770   4.25558062e+00   3.98527230e+00   3.99304306e+00  -5.34400642e-02   4.23513986e-02  -3.77233536e-03   3.78013309e-03  -5.34403026e-02   4.23548371e-02  -3.76743334e-03  -1.37379742e-03   2.04557992e-07  -3.45194394e-06  -4.95858376e-06   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7770   4.53693950e+00   1.02889786e+00   2.64545576e+00  -2.18498111e-02  -3.53154503e-02  -3.69822420e-02   2.60925107e-02  -2.14263182e-02  -3.50446813e-02  -3.63892689e-02   2.10931133e-02  -4.23579040e-04  -2.70814373e-04  -5.92962024e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7030   2.43946026e+00   5.17183056e-01   3.93342417e+00  -9.14581399e-03   1.17934737e-02   1.85047823e-03   1.44623825e-02  -1.09504419e-03   1.42780207e-02   4.62720549e-04   1.00038666e-02  -8.05273931e-03  -2.48136208e-03   1.38523348e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7040   4.49173881e+00   4.90741686e+00   3.37777350e+00  -1.58047765e-01   7.79027939e-02  -4.35241833e-02  -6.59163818e-02  -1.01667605e-01   4.53082062e-02  -2.88322866e-02  -6.45855367e-02  -1.01844454e-02  -4.79897624e-03  -3.63332615e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3810   3.22668371e+00   1.84992688e+00   2.67372123e+00  -1.54747255e-02  -3.28884870e-02   2.47906297e-02   3.03664654e-02  -1.59341488e-02  -3.29248011e-02   2.45501194e-02   2.52900608e-02   4.59422969e-04   3.63125182e-05   2.40510533e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              1600   1.85202136e+00   3.70801704e+00   3.36880078e+00   3.77088338e-02   8.44358951e-02   2.88075600e-02  -1.20103113e-01   3.22495401e-02   7.53178596e-02   2.58381385e-02  -1.23130716e-01   5.45929326e-03   9.11803916e-03   2.96942098e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              5570   1.58935237e+00   1.08165794e+00   1.91990088e+00  -1.76216662e-03   5.74161066e-03   1.34863136e-02  -2.74611004e-02  -5.52441226e-03  -2.67056050e-03  -1.30951805e-02  -2.98793111e-02   3.76224564e-03   8.41217116e-03   2.65814941e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3460   4.24028046e+00   4.64926978e+00   3.10394754e+00  -5.90013117e-02   1.05802290e-01   6.88874349e-02  -5.82704321e-02  -4.67148870e-02   8.45473111e-02   4.23348323e-02  -6.04029596e-02  -1.28583340e-02   1.70456879e-02   2.44859923e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
