# Gravity accuracy test - SWIFT FORCES
# G=   4.30091755e+01
# N= 10
# periodic= 1
# theta=   1.00000000e-02
# Git Branch: master
# Git Revision: v1.0.0-359-gdf3f05c9-dirty
#               id           pos[0]           pos[1]           pos[2]       a_swift[0]       a_swift[1]       a_swift[2]        potential          a_PM[0]          a_PM[1]          a_PM[2]      potentialPM         a_p2p[0]         a_p2p[1]         a_p2p[2]         a_m2p[0]         a_m2p[1]         a_m2p[2]         a_m2l[0]         a_m2l[1]         a_m2l[2]            n_p2p            n_m2p            n_m2l             n_PM
              2980   2.35021628e-01   2.57978989e+00   4.80735566e+00   2.86401249e-02   2.27496028e-02  -5.63274771e-02  -4.49075922e-02   3.85331362e-03   1.47895897e-02  -1.02257282e-02  -4.52296622e-02   3.08638662e-02   1.14795025e-02  -4.14498448e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3710   1.89010120e+00   2.96220097e+00   7.39523677e-01  -3.16423550e-02  -1.33136334e-02   1.09364064e-02   4.67753857e-02  -3.20607461e-02  -1.33329043e-02   1.07826972e-02   4.16538157e-02   4.17677889e-04   1.93265241e-05   1.54979294e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              6190   2.03253220e+00   4.15254511e+00   2.54482176e+00   5.07814139e-02  -5.51228300e-02  -5.36054187e-02  -1.32674500e-01  -1.25082750e-02   8.09672847e-02   5.59189804e-02  -1.09408371e-01   6.32897019e-02  -1.36090145e-01  -1.09524414e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              9630   4.62588012e+00   4.43972550e+00   1.17519265e+00  -1.15938680e-02  -1.52635304e-02   3.08017544e-02   2.10823994e-02  -1.33649101e-02  -1.61977764e-02   3.49874347e-02   1.65195949e-02   1.29846623e-03   1.18290912e-03  -3.99688305e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              8110   3.94646822e+00   2.81964477e+00   2.81762305e-01   3.59559059e-02   8.59903637e-03  -2.96177017e-03   9.26446989e-02   3.46929729e-02   8.54357053e-03  -3.40731326e-03   8.75740424e-02   1.16921659e-03   3.40666224e-06   5.12296625e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3000   4.78953147e+00   8.74089733e-01   1.07715187e+00   9.92263108e-02  -1.11780286e-01  -1.03392981e-01  -4.53905202e-02   5.86347363e-04  -4.24386822e-02  -4.78094891e-02  -3.42359953e-02  -3.02613359e-02  -1.69662740e-02  -1.76113416e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7740   3.07768004e+00   4.33391333e+00   2.88222780e+00  -5.82384467e-02   3.06097567e-02   1.49064185e-02  -9.59497690e-02  -5.42100631e-02   3.30447108e-02   1.99131127e-02  -9.95793864e-02  -4.03274875e-03  -2.47386959e-03  -4.98020137e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              4770   4.25557996e+00   3.98527208e+00   3.99304256e+00  -5.34400903e-02   4.23514135e-02  -3.77232605e-03   3.78012494e-03  -5.34403287e-02   4.23548520e-02  -3.76742403e-03  -1.37380557e-03   2.04552990e-07  -3.45195008e-06  -4.95857739e-06   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7770   4.53693903e+00   1.02889736e+00   2.64545518e+00  -2.18497701e-02  -3.53154615e-02  -3.69822308e-02   2.60925237e-02  -2.14262791e-02  -3.50446887e-02  -3.63892615e-02   2.10931264e-02  -4.23576625e-04  -2.70816468e-04  -5.92961151e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7030   2.43945999e+00   5.17182528e-01   3.93342388e+00  -9.14578140e-03   1.17934542e-02   1.85045472e-03   1.44623676e-02  -1.09502149e-03   1.42780039e-02   4.62707045e-04   1.00038517e-02  -8.05273000e-03  -2.48136441e-03   1.38522324e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
