# Gravity accuracy test - SWIFT FORCES
# G=   4.30091755e+01
# N= 10
# periodic= 1
# theta=   1.00000000e-02
# Git Branch: master
# Git Revision: v1.0.0-359-gdf3f05c9-dirty
#               id           pos[0]           pos[1]           pos[2]       a_swift[0]       a_swift[1]       a_swift[2]        potential          a_PM[0]          a_PM[1]          a_PM[2]      potentialPM         a_p2p[0]         a_p2p[1]         a_p2p[2]         a_m2p[0]         a_m2p[1]         a_m2p[2]         a_m2l[0]         a_m2l[1]         a_m2l[2]            n_p2p            n_m2p            n_m2l             n_PM
              2980   2.35021904e-01   2.57979135e+00   4.80735730e+00   2.86402758e-02   2.27495395e-02  -5.63268363e-02  -4.49075475e-02   3.85346985e-03   1.47895571e-02  -1.02256332e-02  -4.52296548e-02   3.08637694e-02   1.14794504e-02  -4.14493605e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3710   1.89010249e+00   2.96220202e+00   7.39525232e-01  -3.16423476e-02  -1.33136967e-02   1.09364158e-02   4.67754044e-02  -3.20607387e-02  -1.33329667e-02   1.07827066e-02   4.16538343e-02   4.17674397e-04   1.93253290e-05   1.54979061e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              6190   2.03253374e+00   4.15254559e+00   2.54482237e+00   5.07805347e-02  -5.51234037e-02  -5.36058918e-02  -1.32674247e-01  -1.25083085e-02   8.09670836e-02   5.59189022e-02  -1.09408222e-01   6.32888526e-02  -1.36090517e-01  -1.09524801e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              9630   4.62588138e+00   4.43972651e+00   1.17519467e+00  -1.15940217e-02  -1.52635826e-02   3.08020581e-02   2.10823268e-02  -1.33650508e-02  -1.61977895e-02   3.49876471e-02   1.65195204e-02   1.29845180e-03   1.18286896e-03  -3.99678992e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              8110   3.94646994e+00   2.81964578e+00   2.81764612e-01   3.59560959e-02   8.59897770e-03  -2.96160206e-03   9.26446915e-02   3.46931219e-02   8.54351278e-03  -3.40716145e-03   8.75740424e-02   1.16925861e-03   3.40610814e-06   5.12311875e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3000   4.78953262e+00   8.74089973e-01   1.07715233e+00   9.92265791e-02  -1.11779168e-01  -1.03393868e-01  -4.53906991e-02   5.86488866e-04  -4.24385481e-02  -4.78097461e-02  -3.42361219e-02  -3.02616134e-02  -1.69665497e-02  -1.76115818e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7740   3.07768223e+00   4.33391416e+00   2.88222918e+00  -5.82380593e-02   3.06099765e-02   1.49062946e-02  -9.59497839e-02  -5.42098805e-02   3.30449045e-02   1.99130811e-02  -9.95794013e-02  -4.03254200e-03  -2.47384491e-03  -4.98029403e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              4770   4.25558194e+00   3.98527274e+00   3.99304405e+00  -5.34400232e-02   4.23513576e-02  -3.77235445e-03   3.78014939e-03  -5.34402616e-02   4.23547961e-02  -3.76745244e-03  -1.37378124e-03   2.04570924e-07  -3.45192802e-06  -4.95860286e-06   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7770   4.53694043e+00   1.02889888e+00   2.64545692e+00  -2.18498912e-02  -3.53154354e-02  -3.69822644e-02   2.60924846e-02  -2.14263927e-02  -3.50446664e-02  -3.63892876e-02   2.10930873e-02  -4.23584337e-04  -2.70812510e-04  -5.92965051e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7030   2.43946079e+00   5.17184110e-01   3.93342476e+00  -9.14586242e-03   1.17935184e-02   1.85052631e-03   1.44624105e-02  -1.09508983e-03   1.42780542e-02   4.62747616e-04   1.00038946e-02  -8.05274211e-03  -2.48135021e-03   1.38525444e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7040   4.49173901e+00   4.90741756e+00   3.37777356e+00  -1.58048108e-01   7.79032856e-02  -4.35242578e-02  -6.59165084e-02  -1.01667613e-01   4.53082770e-02  -2.88322959e-02  -6.45856261e-02  -1.01844827e-02  -4.79902374e-03  -3.63334594e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3810   3.22668486e+00   1.84992797e+00   2.67372193e+00  -1.54746650e-02  -3.28884758e-02   2.47906707e-02   3.03664505e-02  -1.59340948e-02  -3.29247937e-02   2.45501548e-02   2.52900459e-02   4.59429430e-04   3.63176987e-05   2.40515132e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              1600   1.85202200e+00   3.70801801e+00   3.36880161e+00   3.77085060e-02   8.44358951e-02   2.88075153e-02  -1.20103076e-01   3.22493315e-02   7.53178149e-02   2.58380678e-02  -1.23130679e-01   5.45917498e-03   9.11808107e-03   2.96944776e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
