# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
   127.00000000  1.02202713e+02 -4.58413682e+02  9.59345338e+03
   127.00000000  1.09016975e+02 -2.02348517e+01  9.59345338e+03
   127.00000000  1.15837105e+02  3.18721650e+02  9.59345338e+03
   127.00000000  1.22647285e+02 -5.27150667e+01  9.59345338e+03
   127.00000000  1.29455872e+02 -1.97028339e+02  9.59345338e+03
   127.00000000  1.36269531e+02 -1.08394181e+02  9.59345338e+03
   127.00000000  1.43089828e+02 -1.06153401e+02  9.59345338e+03
   127.00000000  1.49907822e+02  2.10096136e+01  9.59345338e+03
   127.00000000  1.56717484e+02  2.18887064e+02  9.59345338e+03
   127.00000000  1.63530975e+02  8.78075745e+01  9.59345338e+03
   127.00000000  1.70338959e+02  1.80912729e+02  9.59345338e+03
   127.00000000  1.77141541e+02  3.50510294e+01  9.59345338e+03
   127.00000000  1.83945999e+02 -1.66424723e+02  9.59345338e+03
   127.00000000  1.90763474e+02  9.77780156e+01  9.59345338e+03
   127.00000000  1.97595673e+02  1.11272364e+02  9.59345338e+03
   127.00000000  2.04411514e+02  4.25786890e+01  9.59345338e+03
   127.00000000  2.11218445e+02  6.62216774e+01  9.59345338e+03
   127.00000000  2.18030731e+02 -4.07091855e+01  9.59345338e+03
   127.00000000  2.24847656e+02  5.55446788e+01  9.59345338e+03
   127.00000000  2.31666153e+02 -1.24840594e+02  9.59345338e+03
   127.00000000  2.38463715e+02  1.72317223e+02  9.59345338e+03
   127.00000000  2.45278290e+02  1.03639796e+02  9.59345338e+03
   127.00000000  2.52102142e+02 -4.06115618e+01  9.59345338e+03
   127.00000000  2.58908539e+02  1.85351883e+01  9.59345338e+03
   127.00000000  2.65715698e+02  1.14483783e+02  9.59345338e+03
   127.00000000  2.72537811e+02 -4.02475605e+00  9.59345338e+03
   127.00000000  2.79362549e+02  7.84489817e+01  9.59345338e+03
   127.00000000  2.86160645e+02  4.62630552e+01  9.59345338e+03
   127.00000000  2.92964111e+02 -1.08696469e+01  9.59345338e+03
   127.00000000  2.99780487e+02  3.62081199e+01  9.59345338e+03
   127.00000000  3.06602203e+02  4.66128924e+01  9.59345338e+03
   127.00000000  3.13412262e+02  1.30436342e+01  9.59345338e+03
   127.00000000  3.27033142e+02 -3.95817320e+02  9.59345338e+03
   127.00000000  3.54301758e+02  1.92665806e+02  9.59345338e+03
   127.00000000  3.81554169e+02 -3.72548630e+02  9.59345338e+03
   127.00000000  4.08785248e+02 -2.25137347e+02  9.59345338e+03
   127.00000000  4.36034576e+02  3.38125537e+02  9.59345338e+03
   127.00000000  4.63298706e+02  1.90763395e+02  9.59345338e+03
   127.00000000  4.90560852e+02 -9.00747862e+01  9.59345338e+03
   127.00000000  5.17814880e+02  2.80806193e+02  9.59345338e+03
   127.00000000  5.45062805e+02  1.05189797e+02  9.59345338e+03
   127.00000000  5.72329468e+02 -2.87704407e+01  9.59345338e+03
   127.00000000  5.99587708e+02 -1.51900746e+02  9.59345338e+03
   127.00000000  6.26817688e+02  1.38710762e+02  9.59345338e+03
   127.00000000  6.54054016e+02  1.44021416e+02  9.59345338e+03
   127.00000000  6.81298340e+02  1.55469282e+01  9.59345338e+03
   127.00000000  7.08550293e+02 -2.08250036e+01  9.59345338e+03
   127.00000000  7.35802246e+02  9.59499982e+01  9.59345338e+03
   127.00000000  7.63054138e+02 -5.73878649e+00  9.59345338e+03
   127.00000000  7.90306091e+02  7.20806515e+01  9.59345338e+03
   127.00000000  8.17558044e+02 -1.30387278e+02  9.59345338e+03
   127.00000000  8.44809937e+02 -4.32420983e+01  9.59345338e+03
   127.00000000  8.72061890e+02 -8.76267997e+01  9.59345338e+03
   127.00000000  8.99313843e+02 -5.94485372e+01  9.59345338e+03
